ID,PortMonitor,Status,Kwh,LastReading,LastGoodPacket,ReleStatus,Model,FWver
40056591,Door closed /400565912022-12-16 10:31:36.816928,Normal,,Last Reading:,,,,1.1.4
40059560,Door closed /400595602022-12-16 10:33:50.010459,Normal,,Last Reading:,,,,01.01.04
400565A2,Door closed /400565A22022-12-16 10:35:30.899417,Normal,,Last Reading:,,,,01.01.04
400565B9,Door closed /400565B92022-12-16 10:37:53.834278,Normal,,Last Reading: 14.7830 - 11/10/2022 4:17:37 PM,,,,01.01.04
400565BF,Door closed /400565BF2022-12-16 10:39:40.229987,Normal,,Last Reading:,,,,01.01.04
400565A7,Door closed /400565A72022-12-16 10:41:24.634452,Normal,,Last Reading:,,,,01.01.04
40056586,Door closed /400565862022-12-16 10:42:59.024967,Normal,,Last Reading:,,,,01.01.04
9160F5DF,Door closed /9160F5DF2022-12-16 10:44:43.272880,Normal,,Last Reading:,,,,01.01.04
400565ED,Door closed /400565ED2022-12-16 10:46:15.001590,Normal,,Last Reading:,,,,01.01.04
40056599,Door closed /400565992022-12-16 10:47:36.949984,Normal,,Last Reading:,,,,01.01.04
4005659E,Door closed /4005659E2022-12-16 10:48:57.129278,Normal,,Last Reading:,,,,01.01.04
40056589,Door closed /400565892022-12-16 10:50:20.571378,Normal,,Last Reading:,,,,01.01.04
400565AD,Door closed /400565AD2022-12-16 10:51:31.533931,Normal,,Last Reading:,,,,1.1.4
400565EE,Door closed /400565EE2022-12-16 10:52:45.205979,Normal,,Last Reading:,,,,01.01.04
400565A0,Door closed /400565A02022-12-16 10:53:53.078462,Normal,,Last Reading:,,,,01.01.04
4005659C,Door closed /4005659C2022-12-16 10:55:11.079103,Normal,,Last Reading: 27.3830 - 11/11/2022 2:40:43 PM,,,,01.01.04
400565B5,Door closed /400565B52022-12-16 10:56:25.466897,Normal,,Last Reading:,,,,01.01.04
400565BC,Door closed /400565BC2022-12-16 10:57:44.194264,Normal,,Last Reading:,,,,01.01.04
40056596,Door closed /400565962022-12-16 10:58:52.991721,Normal,,Last Reading:,,,,01.01.04
40056601,Door closed /400566012022-12-16 11:00:04.288931,Normal,,Last Reading:,,,,01.01.04
400565F3,Door closed /400565F32022-12-16 11:01:20.895367,Normal,,Last Reading:,,,,01.01.04
400565C3,Door closed /400565C32022-12-16 11:02:34.431554,Normal,,Last Reading:,,,,01.01.04
400565F5,Door closed /400565F52022-12-16 11:03:47.166312,Normal,,Last Reading:,,,,01.01.04
400565E3,Door closed /400565E32022-12-16 11:04:59.302526,Normal,,Last Reading:,,,,01.01.04
00AA007D,,Normal,Initial/Latest kWh 0 / 25.0420,Last Reading: 25.0420 - 11/30/2022 7:27:42 AM,11/30/2022 7:28:08 AM,Connected,Magno Grid - E212,01.00.03
00AA0087,,Normal,Initial/Latest kWh 0 / 26.9780,Last Reading: 26.9780 - 11/30/2022 9:05:52 AM,11/30/2022 9:06:10 AM,Connected,Magno Grid - E212,01.00.03
00AA00AD,,Normal,Initial/Latest kWh 0 / 34.2190,Last Reading: 34.2190 - 12/16/2022 9:18:27 AM,12/16/2022 9:18:46 AM,Connected,Magno Grid - E212,01.00.03
00AA00B1,,Normal,Initial/Latest kWh 0 / 41.9120,Last Reading: 41.9120 - 11/30/2022 8:00:25 AM,11/30/2022 8:00:42 AM,Connected,Magno Grid - E212,01.00.03
